.next/types/app/(dashboard)/admin/contact-centre/purge/page.ts(2,24): error TS2307: Cannot find module '../../../../../../../src/app/(dashboard)/admin/contact-centre/purge/page.js' or its corresponding type declarations.
.next/types/validator.ts(314,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/credit-group-approvals/page.js' or its corresponding type declarations.
.next/types/validator.ts(323,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/credit-groups/page.js' or its corresponding type declarations.
.next/types/validator.ts(350,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/service-customers/page.js' or its corresponding type declarations.
.next/types/validator.ts(359,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/services/approvals/page.js' or its corresponding type declarations.
.next/types/validator.ts(368,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/services/page.js' or its corresponding type declarations.
.next/types/validator.ts(377,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/subscriptions/page.js' or its corresponding type declarations.
.next/types/validator.ts(395,39): error TS2307: Cannot find module '../../src/app/(dashboard)/master-data/teams/page.js' or its corresponding type declarations.
.next/types/validator.ts(422,39): error TS2307: Cannot find module '../../src/app/(dashboard)/orders/[id]/edit/page.js' or its corresponding type declarations.
.next/types/validator.ts(431,39): error TS2307: Cannot find module '../../src/app/(dashboard)/orders/[id]/request-follow-up/page.js' or its corresponding type declarations.
.next/types/validator.ts(440,39): error TS2307: Cannot find module '../../src/app/(dashboard)/orders/create-follow-up/page.js' or its corresponding type declarations.
.next/types/validator.ts(449,39): error TS2307: Cannot find module '../../src/app/(dashboard)/orders/create/page.js' or its corresponding type declarations.
.next/types/validator.ts(458,39): error TS2307: Cannot find module '../../src/app/(dashboard)/orders/page.js' or its corresponding type declarations.
.next/types/validator.ts(611,39): error TS2307: Cannot find module '../../src/app/(dashboard)/quotations/[id]/edit/page.js' or its corresponding type declarations.
.next/types/validator.ts(620,39): error TS2307: Cannot find module '../../src/app/(dashboard)/quotations/[id]/page.js' or its corresponding type declarations.
.next/types/validator.ts(629,39): error TS2307: Cannot find module '../../src/app/(dashboard)/quotations/create/page.js' or its corresponding type declarations.
.next/types/validator.ts(638,39): error TS2307: Cannot find module '../../src/app/(dashboard)/quotations/page.js' or its corresponding type declarations.
.next/types/validator.ts(773,39): error TS2307: Cannot find module '../../src/app/(dashboard)/team-leader/page.js' or its corresponding type declarations.
.next/types/validator.ts(782,39): error TS2307: Cannot find module '../../src/app/pay/[invoiceId]/page.js' or its corresponding type declarations.
.next/types/validator.ts(791,39): error TS2307: Cannot find module '../../src/app/api/3cx/active-calls/route.js' or its corresponding type declarations.
.next/types/validator.ts(800,39): error TS2307: Cannot find module '../../src/app/api/3cx/call/decline/route.js' or its corresponding type declarations.
.next/types/validator.ts(809,39): error TS2307: Cannot find module '../../src/app/api/3cx/call/hangup/route.js' or its corresponding type declarations.
.next/types/validator.ts(818,39): error TS2307: Cannot find module '../../src/app/api/3cx/call/make/route.js' or its corresponding type declarations.
.next/types/validator.ts(827,39): error TS2307: Cannot find module '../../src/app/api/3cx/recording/route.js' or its corresponding type declarations.
.next/types/validator.ts(836,39): error TS2307: Cannot find module '../../src/app/api/3cx/webhook/event/route.js' or its corresponding type declarations.
.next/types/validator.ts(845,39): error TS2307: Cannot find module '../../src/app/api/admin/contact-centre/purge/history/route.js' or its corresponding type declarations.
.next/types/validator.ts(854,39): error TS2307: Cannot find module '../../src/app/api/admin/contact-centre/purge/preview/route.js' or its corresponding type declarations.
.next/types/validator.ts(863,39): error TS2307: Cannot find module '../../src/app/api/admin/contact-centre/purge/restore/route.js' or its corresponding type declarations.
.next/types/validator.ts(872,39): error TS2307: Cannot find module '../../src/app/api/admin/contact-centre/purge/route.js' or its corresponding type declarations.
.next/types/validator.ts(881,39): error TS2307: Cannot find module '../../src/app/api/admin/contact-centre/purge/sweep/route.js' or its corresponding type declarations.
.next/types/validator.ts(890,39): error TS2307: Cannot find module '../../src/app/api/contact-center/escalate/route.js' or its corresponding type declarations.
.next/types/validator.ts(899,39): error TS2307: Cannot find module '../../src/app/api/follow-up-requests/[id]/confirm/route.js' or its corresponding type declarations.
.next/types/validator.ts(908,39): error TS2307: Cannot find module '../../src/app/api/follow-up-requests/[id]/reject/route.js' or its corresponding type declarations.
.next/types/validator.ts(917,39): error TS2307: Cannot find module '../../src/app/api/follow-up-requests/route.js' or its corresponding type declarations.
.next/types/validator.ts(926,39): error TS2307: Cannot find module '../../src/app/api/notifications/send-booking-confirmations/route.js' or its corresponding type declarations.
.next/types/validator.ts(935,39): error TS2307: Cannot find module '../../src/app/api/orders/[id]/generate-confirmation-pdf/route.js' or its corresponding type declarations.
.next/types/validator.ts(944,39): error TS2307: Cannot find module '../../src/app/api/orders/[id]/link-follow-up/route.js' or its corresponding type declarations.
.next/types/validator.ts(953,39): error TS2307: Cannot find module '../../src/app/api/orders/follow-up/route.js' or its corresponding type declarations.
.next/types/validator.ts(962,39): error TS2307: Cannot find module '../../src/app/api/payments/dibsy/create-batch-payment/route.js' or its corresponding type declarations.
.next/types/validator.ts(971,39): error TS2307: Cannot find module '../../src/app/api/payments/dibsy/create-tl-invoice/route.js' or its corresponding type declarations.
.next/types/validator.ts(980,39): error TS2307: Cannot find module '../../src/app/api/payments/dibsy/create/route.js' or its corresponding type declarations.
.next/types/validator.ts(989,39): error TS2307: Cannot find module '../../src/app/api/payments/dibsy/webhook/route.js' or its corresponding type declarations.
.next/types/validator.ts(1043,39): error TS2307: Cannot find module '../../src/app/api/quotations/[id]/generate-pdf/route.js' or its corresponding type declarations.
.next/types/validator.ts(1052,39): error TS2307: Cannot find module '../../src/app/api/quotations/preview-html/route.js' or its corresponding type declarations.
.next/types/validator.ts(1142,39): error TS2307: Cannot find module '../../src/app/api/team-leader/update-location/route.js' or its corresponding type declarations.
.next/types/validator.ts(1151,39): error TS2307: Cannot find module '../../src/app/api/traccar/devices/route.js' or its corresponding type declarations.
.next/types/validator.ts(1160,39): error TS2307: Cannot find module '../../src/app/api/traccar/geofences/[id]/route.js' or its corresponding type declarations.
.next/types/validator.ts(1169,39): error TS2307: Cannot find module '../../src/app/api/traccar/geofences/route.js' or its corresponding type declarations.
.next/types/validator.ts(1178,39): error TS2307: Cannot find module '../../src/app/api/traccar/positions/history/route.js' or its corresponding type declarations.
.next/types/validator.ts(1187,39): error TS2307: Cannot find module '../../src/app/api/traccar/positions/route.js' or its corresponding type declarations.
.next/types/validator.ts(1250,39): error TS2307: Cannot find module '../../src/app/api/wati/fetch-messages/route.js' or its corresponding type declarations.
.next/types/validator.ts(1259,39): error TS2307: Cannot find module '../../src/app/api/wati/lookup-contact/route.js' or its corresponding type declarations.
.next/types/validator.ts(1268,39): error TS2307: Cannot find module '../../src/app/api/wati/media/route.js' or its corresponding type declarations.
.next/types/validator.ts(1277,39): error TS2307: Cannot find module '../../src/app/api/wati/send-file/route.js' or its corresponding type declarations.
.next/types/validator.ts(1286,39): error TS2307: Cannot find module '../../src/app/api/wati/send-message/route.js' or its corresponding type declarations.
.next/types/validator.ts(1295,39): error TS2307: Cannot find module '../../src/app/api/wati/send-quotation/route.js' or its corresponding type declarations.
.next/types/validator.ts(1304,39): error TS2307: Cannot find module '../../src/app/api/wati/sync-contacts/route.js' or its corresponding type declarations.
.next/types/validator.ts(1313,39): error TS2307: Cannot find module '../../src/app/api/wati/webhook/route.js' or its corresponding type declarations.
.next/types/validator.ts(1331,39): error TS2307: Cannot find module '../../src/app/api/whapi/fetch-messages/route.js' or its corresponding type declarations.
.next/types/validator.ts(1340,39): error TS2307: Cannot find module '../../src/app/api/whapi/media/route.js' or its corresponding type declarations.
.next/types/validator.ts(1349,39): error TS2307: Cannot find module '../../src/app/api/whapi/send-message/route.js' or its corresponding type declarations.
.next/types/validator.ts(1358,39): error TS2307: Cannot find module '../../src/app/api/whapi/send-reaction/route.js' or its corresponding type declarations.
.next/types/validator.ts(1367,39): error TS2307: Cannot find module '../../src/app/api/whapi/sync-chats/route.js' or its corresponding type declarations.
.next/types/validator.ts(1376,39): error TS2307: Cannot find module '../../src/app/api/whapi/webhook/channel/route.js' or its corresponding type declarations.
.next/types/validator.ts(1385,39): error TS2307: Cannot find module '../../src/app/api/whapi/webhook/route.js' or its corresponding type declarations.
.next/types/validator.ts(1407,39): error TS2307: Cannot find module '../../src/app/(dashboard)/admin/layout.js' or its corresponding type declarations.
src/app/(dashboard)/purchase/debit-notes/page.tsx(56,56): error TS2339: Property 'po_number' does not exist on type 'DebitNote'.
src/app/(dashboard)/purchase/debit-notes/page.tsx(56,69): error TS2339: Property 'return_number' does not exist on type 'DebitNote'.
src/app/(dashboard)/purchase/edit-po/[id]/page.tsx(291,38): error TS2345: Argument of type 'POLineItemDraft[]' is not assignable to parameter of type '(POLineItemDraft & { line_type: LineType; })[]'.
  Type 'POLineItemDraft' is not assignable to type 'POLineItemDraft & { line_type: LineType; }'.
    Property 'line_type' is missing in type 'POLineItemDraft' but required in type '{ line_type: LineType; }'.
src/app/(dashboard)/purchase/edit-po/[id]/page.tsx(342,40): error TS2345: Argument of type 'POLineItemDraft[]' is not assignable to parameter of type '(POLineItemDraft & { line_type: LineType; })[]'.
  Type 'POLineItemDraft' is not assignable to type 'POLineItemDraft & { line_type: LineType; }'.
    Property 'line_type' is missing in type 'POLineItemDraft' but required in type '{ line_type: LineType; }'.
src/app/(dashboard)/reports/overtime/page.tsx(2,37): error TS2307: Cannot find module '@/components/reports/OvertimeReportTable' or its corresponding type declarations.
src/components/master-data/AddUserDialog.tsx(81,14): error TS2352: Conversion of type '{ id: string; name: string; team_id: string | null; teams: { id: string; name: string; }[]; }[]' to type '{ id: string; name: string; teams: { id: string; name: string; }; }[]' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
  Type '{ id: string; name: string; team_id: string | null; teams: { id: string; name: string; }[]; }' is not comparable to type '{ id: string; name: string; teams: { id: string; name: string; }; }'.
    Types of property 'teams' are incompatible.
      Type '{ id: string; name: string; }[]' is missing the following properties from type '{ id: string; name: string; }': id, name
src/components/master-data/EditUserDialog.tsx(203,14): error TS2352: Conversion of type '{ id: string; name: string; team_id: string | null; teams: { id: string; name: string; }[]; }[]' to type '{ id: string; name: string; team_id: string; teams: { id: string; name: string; }; }[]' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
  Type '{ id: string; name: string; team_id: string | null; teams: { id: string; name: string; }[]; }' is not comparable to type '{ id: string; name: string; team_id: string; teams: { id: string; name: string; }; }'.
    Types of property 'teams' are incompatible.
      Type '{ id: string; name: string; }[]' is missing the following properties from type '{ id: string; name: string; }': id, name
src/components/master-data/EditUserDialog.tsx(390,49): error TS2339: Property 'name' does not exist on type '{ name: string; }[]'.
src/components/services/inventory/BrandVariantRow.tsx(11,38): error TS2307: Cannot find module './ReservedOrdersDialog' or its corresponding type declarations.
src/components/shared/PaymentFormDialog.tsx(140,27): error TS2353: Object literal may only specify known properties, and 'invalid_type_error' does not exist in type '{ error?: string | $ZodErrorMap<$ZodIssueInvalidType<unknown>> | undefined; message?: string | undefined; }'.
src/hooks/useCreditNotes.ts(122,39): error TS2339: Property 'invoice_id' does not exist on type 'SelectQueryError<"could not find the relation between credit_notes and invoices">'.
src/hooks/useCustomerPayments.ts(64,40): error TS2339: Property 'invoice_id' does not exist on type 'SelectQueryError<"could not find the relation between payments and invoices">'.
src/hooks/useCustomerPayments.ts(65,38): error TS2339: Property 'customers' does not exist on type 'SelectQueryError<"could not find the relation between payments and invoices">'.
src/hooks/useNotificationConfig.ts(53,14): error TS2352: Conversion of type '{ id: string; slug: string; label: string; label_ar: string | null; notes: string | null; category: "order" | "contract" | "invoice" | "payment" | "system" | "reminder" | "booking"; trigger_type: "reminder" | ... 2 more ... | "event"; timing_description: string | null; is_active: boolean; sort_order: number; notific...' to type '{ id: string; slug: string; label: string; label_ar: string | null; notes: string | null; category: string; trigger_type: string; timing_description: string | null; is_active: boolean; sort_order: number; notification_templates: { ...; } | null; }[]' may be a mistake because neither type sufficiently overlaps with the other. If this was intentional, convert the expression to 'unknown' first.
  Type '{ id: string; slug: string; label: string; label_ar: string | null; notes: string | null; category: "order" | "contract" | "invoice" | "payment" | "system" | "reminder" | "booking"; trigger_type: "reminder" | ... 2 more ... | "event"; timing_description: string | null; is_active: boolean; sort_order: number; notific...' is not comparable to type '{ id: string; slug: string; label: string; label_ar: string | null; notes: string | null; category: string; trigger_type: string; timing_description: string | null; is_active: boolean; sort_order: number; notification_templates: { ...; } | null; }'.
    Types of property 'notification_templates' are incompatible.
      Type 'SelectQueryError<"could not find the relation between notification_config and notification_templates">' is not comparable to type '{ wati_template_name: string; slug: string; media_type: string; body_text: string | null; } | null'.
src/hooks/useNotifications.ts(10,33): error TS2344: Type '"reminder_categories"' does not satisfy the constraint '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
src/hooks/useNotifications.ts(11,25): error TS2344: Type '"reminders"' does not satisfy the constraint '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
src/hooks/useNotifications.ts(15,21): error TS2344: Type '"reminders"' does not satisfy the constraint '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
src/hooks/useNotifications.ts(15,34): error TS2339: Property 'channel' does not exist on type 'unknown'.
src/hooks/useNotifications.ts(18,20): error TS2344: Type '"reminders"' does not satisfy the constraint '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
src/hooks/useNotifications.ts(18,33): error TS2339: Property 'status' does not exist on type 'unknown'.
src/hooks/useNotifications.ts(49,15): error TS2769: No overload matches this call.
  Overload 1 of 2, '(relation: "activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"): PostgrestQueryBuilder<...>', gave the following error.
    Argument of type '"reminder_categories"' is not assignable to parameter of type '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
  Overload 2 of 2, '(relation: "customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"): PostgrestQueryBuilder<{ PostgrestVersion: "14.5"; }, { Tables: { activity_log: { ...; }; ... 90 more ...; warehouses: { ...; }; }; Views: { ...; }; Functions: { ...; }; Enums: { ...; }; CompositeTypes: {}; }, { ...; } | ... 2 more ... | { ...; }, "customer_invoices" | ... 2 more ... | "warehouse_stock_view", [] | ... 2 more ... | [...]>', gave the following error.
    Argument of type '"reminder_categories"' is not assignable to parameter of type '"customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"'.
src/hooks/useNotifications.ts(65,15): error TS2769: No overload matches this call.
  Overload 1 of 2, '(relation: "activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"): PostgrestQueryBuilder<...>', gave the following error.
    Argument of type '"reminders"' is not assignable to parameter of type '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
  Overload 2 of 2, '(relation: "customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"): PostgrestQueryBuilder<{ PostgrestVersion: "14.5"; }, { Tables: { activity_log: { ...; }; ... 90 more ...; warehouses: { ...; }; }; Views: { ...; }; Functions: { ...; }; Enums: { ...; }; CompositeTypes: {}; }, { ...; } | ... 2 more ... | { ...; }, "customer_invoices" | ... 2 more ... | "warehouse_stock_view", [] | ... 2 more ... | [...]>', gave the following error.
    Argument of type '"reminders"' is not assignable to parameter of type '"customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"'.
src/hooks/useNotifications.ts(82,51): error TS2769: No overload matches this call.
  Overload 1 of 2, '(relation: "activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"): PostgrestQueryBuilder<...>', gave the following error.
    Argument of type '"reminders"' is not assignable to parameter of type '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
  Overload 2 of 2, '(relation: "customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"): PostgrestQueryBuilder<{ PostgrestVersion: "14.5"; }, { Tables: { activity_log: { ...; }; ... 90 more ...; warehouses: { ...; }; }; Views: { ...; }; Functions: { ...; }; Enums: { ...; }; CompositeTypes: {}; }, { ...; } | ... 2 more ... | { ...; }, "customer_invoices" | ... 2 more ... | "warehouse_stock_view", [] | ... 2 more ... | [...]>', gave the following error.
    Argument of type '"reminders"' is not assignable to parameter of type '"customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"'.
src/hooks/useNotifications.ts(83,17): error TS2769: No overload matches this call.
  Overload 1 of 2, '(values: RejectExcessProperties<{ action: string; created_at?: string | null | undefined; details?: string | null | undefined; entity_id: string; entity_type: string; id?: string | undefined; ip_address?: string | null | undefined; ... 4 more ...; severity?: string | undefined; } | ... 90 more ... | { ...; }, ReminderInsert>, options?: { ...; } | undefined): PostgrestFilterBuilder<...>', gave the following error.
    Argument of type 'ReminderInsert' is not assignable to parameter of type 'RejectExcessProperties<{ action: string; created_at?: string | null | undefined; details?: string | null | undefined; entity_id: string; entity_type: string; id?: string | undefined; ip_address?: string | null | undefined; ... 4 more ...; severity?: string | undefined; } | ... 90 more ... | { ...; }, ReminderInsert>'.
      Type 'ReminderInsert' is not assignable to type '{ status: never; description: never; name: never; name_ar: never; category_id: never; template: never; timing: never; channel: never; }'.
        Types of property 'status' are incompatible.
          Type 'any' is not assignable to type 'never'.
  Overload 2 of 2, '(values: RejectExcessProperties<{ action: string; created_at?: string | null | undefined; details?: string | null | undefined; entity_id: string; entity_type: string; id?: string | undefined; ip_address?: string | null | undefined; ... 4 more ...; severity?: string | undefined; } | ... 90 more ... | { ...; }, { ...; } | ... 90 more ... | { ...; }>[], options?: { ...; } | undefined): PostgrestFilterBuilder<...>', gave the following error.
    Argument of type 'ReminderInsert' is not assignable to parameter of type 'RejectExcessProperties<{ action: string; created_at?: string | null | undefined; details?: string | null | undefined; entity_id: string; entity_type: string; id?: string | undefined; ip_address?: string | null | undefined; ... 4 more ...; severity?: string | undefined; } | ... 90 more ... | { ...; }, { ...; } | ... ...'.
      Type 'ReminderInsert' is missing the following properties from type 'RejectExcessProperties<{ action: string; created_at?: string | null | undefined; details?: string | null | undefined; entity_id: string; entity_type: string; id?: string | undefined; ip_address?: string | null | undefined; ... 4 more ...; severity?: string | undefined; } | ... 90 more ... | { ...; }, { ...; } | ... ...': length, pop, push, concat, and 35 more.
src/hooks/useNotifications.ts(98,51): error TS2769: No overload matches this call.
  Overload 1 of 2, '(relation: "activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"): PostgrestQueryBuilder<...>', gave the following error.
    Argument of type '"reminders"' is not assignable to parameter of type '"activity_log" | "app_settings" | "approval_workflow_groups" | "approval_workflow_steps" | "profiles" | "custom_roles" | "bill_line_items" | "bills" | "company_divisions" | ... 82 more ... | "warehouse_transfers"'.
  Overload 2 of 2, '(relation: "customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"): PostgrestQueryBuilder<{ PostgrestVersion: "14.5"; }, { Tables: { activity_log: { ...; }; ... 90 more ...; warehouses: { ...; }; }; Views: { ...; }; Functions: { ...; }; Enums: { ...; }; CompositeTypes: {}; }, { ...; } | ... 2 more ... | { ...; }, "customer_invoices" | ... 2 more ... | "warehouse_stock_view", [] | ... 2 more ... | [...]>', gave the following error.
    Argument of type '"reminders"' is not assignable to parameter of type '"customer_invoices" | "customer_credit_summary" | "credit_group_customer_counts" | "warehouse_stock_view"'.
src/hooks/useNotifications.ts(99,17): error TS2345: Argument of type '{ category_id?: string | undefined; name?: string | undefined; channel?: any; description?: string | null | undefined; name_ar?: string | null | undefined; status?: any; template?: string | null | undefined; timing?: string | ... 1 more ... | undefined; }' is not assignable to parameter of type 'RejectExcessProperties<{ action?: string | undefined; created_at?: string | null | undefined; details?: string | null | undefined; entity_id?: string | undefined; entity_type?: string | undefined; id?: string | undefined; ... 5 more ...; severity?: string | undefined; } | ... 90 more ... | { ...; }, { ...; }>'.
  Type '{ category_id?: string | undefined; name?: string | undefined; channel?: any; description?: string | null | undefined; name_ar?: string | null | undefined; status?: any; template?: string | null | undefined; timing?: string | ... 1 more ... | undefined; }' is not assignable to type '{ status: never; description: never; name: never; name_ar: never; category_id: never; template: never; timing: never; channel: never; }'.
    Types of property 'status' are incompatible.
      Type 'any' is not assignable to type 'never'.
src/hooks/useNotifications.ts(100,13): error TS2345: Argument of type '"id"' is not assignable to parameter of type 'never'.
src/hooks/usePayments.ts(112,33): error TS2339: Property 'invoice_id' does not exist on type 'SelectQueryError<"could not find the relation between payments and invoices">'.
src/hooks/usePayments.ts(113,31): error TS2339: Property 'total_amount' does not exist on type 'SelectQueryError<"could not find the relation between payments and invoices">'.
src/hooks/usePayments.ts(114,30): error TS2339: Property 'paid_amount' does not exist on type 'SelectQueryError<"could not find the relation between payments and invoices">'.
src/hooks/usePayments.ts(115,37): error TS2339: Property 'source' does not exist on type 'SelectQueryError<"could not find the relation between payments and invoices">'.
src/hooks/usePOApprovals.ts(116,9): error TS2322: Type 'string | null' is not assignable to type 'string | undefined'.
  Type 'null' is not assignable to type 'string | undefined'.
src/hooks/usePOApprovals.ts(191,9): error TS2322: Type 'string | null' is not assignable to type 'string | undefined'.
  Type 'null' is not assignable to type 'string | undefined'.
src/hooks/usePOApprovals.ts(232,9): error TS2322: Type 'string | null' is not assignable to type 'string | undefined'.
  Type 'null' is not assignable to type 'string | undefined'.
src/hooks/useWeekCapacity.test.ts(7,8): error TS2307: Cannot find module './useWeekCapacity' or its corresponding type declarations.
src/lib/purchase/generate-bill-pdf.ts(93,24): error TS2345: Argument of type 'string | null' is not assignable to parameter of type 'string'.
  Type 'null' is not assignable to type 'string'.
